PathFileType,4,(X/Y/Z),C:\Users\0gawa\Desktop\test0626\walkr1_Cortex\walkr1.trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,542,34,m,100,1,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.21184,-2.16096,1.50402,0.20828,-2.20055,1.25581,0.22706,-2.02046,1.39926,0.22435,-1.99105,1.24697,0.04155,-2.08635,1.47022,-0.03854,-2.07483,1.15568,0.01257,-1.97836,0.92101,-0.03434,-2.02637,0.91164,-0.03302,-1.97656,0.84563,0.39136,-2.11357,1.46932,0.49228,-2.14376,1.15284,0.45922,-2.03011,0.92943,0.5022,-2.07254,0.92177,0.50086,-2.03325,0.85991,0.10083,-2.00526,0.97864,0.36704,-2.02844,0.98219,0.16757,-2.16729,1.08829,0.25412,-2.17355,1.08813,0.04955,-2.08428,0.68124,0.06595,-2.12473,0.49502,0.04839,-2.15636,0.29693,0.08683,-2.14543,0.08959,0.12619,-2.19494,0.10675,0.13912,-1.99484,0.05066,0.38763,-2.1087,0.68309,0.36544,-2.12214,0.49304,0.37325,-2.14785,0.31763,0.32242,-2.13884,0.07238,0.27722,-2.19241,0.09306,0.30102,-1.98423,0.05037,0.35614,-2.03777,0.03216,0.05439,-2.04146,0.04142,0.26303,-2.11578,0.49184,0.16877,-2.14003,0.48349
2,0.01,0.21208,-2.16067,1.50403,0.20845,-2.20033,1.25585,0.22732,-2.02015,1.39925,0.22456,-1.99085,1.24692,0.0418,-2.08602,1.47023,-0.03827,-2.07418,1.15569,0.01299,-1.97761,0.92114,-0.03397,-2.02547,0.91171,-0.0326,-1.9756,0.84574,0.39159,-2.11336,1.46929,0.49253,-2.14364,1.15283,0.45949,-2.03,0.9294,0.50246,-2.07243,0.92177,0.50114,-2.03309,0.85993,0.10098,-2.00513,0.97861,0.36719,-2.02844,0.98216,0.16768,-2.16715,1.08833,0.25424,-2.17345,1.08816,0.04961,-2.08423,0.68124,0.06599,-2.12469,0.49502,0.04841,-2.15634,0.29693,0.08683,-2.14542,0.08958,0.1262,-2.19493,0.10673,0.13911,-1.99484,0.05065,0.38771,-2.1087,0.68308,0.36551,-2.12218,0.49302,0.37331,-2.1479,0.31762,0.32242,-2.13886,0.07236,0.27723,-2.19243,0.09305,0.30102,-1.98424,0.05038,0.35613,-2.03778,0.03215,0.05439,-2.04146,0.04143,0.26311,-2.11582,0.49184,0.16881,-2.13998,0.48348
3,0.02,0.21232,-2.16038,1.50405,0.20862,-2.20012,1.2559,0.22758,-2.01985,1.39924,0.22478,-1.99064,1.24688,0.04205,-2.08569,1.47025,-0.03799,-2.07353,1.15571,0.01341,-1.97687,0.92126,-0.03361,-2.02457,0.91179,-0.03217,-1.97463,0.84586,0.39181,-2.11316,1.46925,0.49278,-2.14353,1.15282,0.45976,-2.02989,0.92936,0.50272,-2.07232,0.92178,0.50142,-2.03293,0.85994,0.10114,-2.005,0.97858,0.36733,-2.02844,0.98213,0.16779,-2.167,1.08837,0.25435,-2.17335,1.08819,0.04967,-2.08418,0.68125,0.06602,-2.12465,0.49502,0.04842,-2.15633,0.29693,0.08683,-2.14541,0.08957,0.1262,-2.19492,0.1067,0.1391,-1.99484,0.05064,0.38779,-2.10871,0.68306,0.36559,-2.12222,0.493,0.37336,-2.14794,0.3176,0.32243,-2.13888,0.07235,0.27724,-2.19245,0.09304,0.30103,-1.98426,0.05038,0.35613,-2.0378,0.03214,0.05438,-2.04146,0.04143,0.26318,-2.11586,0.49184,0.16884,-2.13993,0.48346
4,0.03,0.21255,-2.16009,1.50406,0.20878,-2.1999,1.25593,0.22783,-2.01957,1.39923,0.22499,-1.99045,1.24683,0.04229,-2.08536,1.47026,-0.03773,-2.0729,1.15573,0.01384,-1.97615,0.92139,-0.03325,-2.02368,0.91186,-0.03175,-1.97367,0.84599,0.39203,-2.11296,1.46921,0.49302,-2.14341,1.15281,0.46002,-2.02982,0.92932,0.50299,-2.0722,0.92178,0.50171,-2.03278,0.85994,0.10129,-2.00488,0.97854,0.36748,-2.02845,0.98211,0.1679,-2.16686,1.08841,0.25446,-2.17326,1.08822,0.04973,-2.08413,0.68124,0.06605,-2.12461,0.49502,0.04842,-2.15631,0.29693,0.08682,-2.14541,0.08955,0.12619,-2.19492,0.10668,0.13909,-1.99484,0.05064,0.38788,-2.10872,0.68304,0.36567,-2.12226,0.49298,0.37342,-2.14798,0.31759,0.32244,-2.1389,0.07234,0.27726,-2.19247,0.09303,0.30103,-1.98428,0.05038,0.35613,-2.03781,0.03213,0.05436,-2.04146,0.04143,0.26325,-2.1159,0.49185,0.16886,-2.1399,0.48345
5,0.04,0.21277,-2.15981,1.50408,0.20892,-2.19969,1.25596,0.22807,-2.0193,1.3992,0.2252,-1.99025,1.24678,0.04252,-2.08504,1.47027,-0.03747,-2.0723,1.15574,0.01427,-1.97545,0.92152,-0.03288,-2.02279,0.91193,-0.03133,-1.97271,0.84613,0.39224,-2.11277,1.46917,0.49326,-2.1433,1.1528,0.46028,-2.02977,0.92928,0.50326,-2.07209,0.92177,0.502,-2.03264,0.85993,0.10145,-2.00476,0.9785,0.36763,-2.02846,0.98207,0.168,-2.16673,1.08845,0.25457,-2.17317,1.08825,0.04979,-2.08408,0.68124,0.06607,-2.12459,0.49502,0.04841,-2.1563,0.29693,0.08681,-2.1454,0.08954,0.12617,-2.19493,0.10666,0.13908,-1.99485,0.05064,0.38797,-2.10873,0.68303,0.36575,-2.1223,0.49296,0.37348,-2.14802,0.31758,0.32245,-2.13892,0.07233,0.27728,-2.19249,0.09303,0.30103,-1.9843,0.05039,0.35614,-2.03783,0.03212,0.05435,-2.04147,0.04143,0.26333,-2.11594,0.49185,0.16888,-2.13989,0.48344
6,0.05,0.21298,-2.15954,1.50409,0.20905,-2.19949,1.25599,0.22831,-2.01905,1.39917,0.22542,-1.99006,1.24672,0.04274,-2.08471,1.47029,-0.03722,-2.07172,1.15576,0.0147,-1.97475,0.92165,-0.03251,-2.02191,0.912,-0.03091,-1.97175,0.84627,0.39246,-2.11259,1.46913,0.49348,-2.14319,1.15278,0.46054,-2.02977,0.92923,0.50354,-2.07198,0.92176,0.50231,-2.0325,0.85992,0.10161,-2.00466,0.97845,0.36779,-2.02847,0.98204,0.16811,-2.16661,1.08848,0.25468,-2.17308,1.08828,0.04984,-2.08403,0.68123,0.0661,-2.12457,0.49502,0.0484,-2.15628,0.29692,0.08679,-2.14541,0.08952,0.12615,-2.19493,0.10664,0.13908,-1.99485,0.05063,0.38807,-2.10875,0.68301,0.36583,-2.12234,0.49295,0.37355,-2.14806,0.31757,0.32247,-2.13894,0.07232,0.2773,-2.19252,0.09302,0.30104,-1.98432,0.05039,0.35614,-2.03785,0.03211,0.05433,-2.04148,0.04142,0.26341,-2.11598,0.49185,0.16889,-2.1399,0.48342
7,0.06,0.21318,-2.15927,1.5041,0.20916,-2.19929,1.25601,0.22855,-2.01882,1.39913,0.22563,-1.98988,1.24666,0.04296,-2.08438,1.4703,-0.03698,-2.07117,1.15578,0.01511,-1.974,0.9218,-0.03214,-2.02104,0.91208,-0.03049,-1.9708,0.84643,0.39266,-2.11242,1.46908,0.4937,-2.14307,1.15276,0.46079,-2.0298,0.92917,0.50383,-2.07188,0.92175,0.50262,-2.03237,0.85989,0.10177,-2.00458,0.97839,0.36795,-2.02849,0.982,0.16821,-2.16649,1.08851,0.25478,-2.17299,1.08831,0.0499,-2.08399,0.68122,0.06612,-2.12456,0.49501,0.04838,-2.15627,0.29692,0.08677,-2.14541,0.08951,0.12612,-2.19495,0.10662,0.13907,-1.99487,0.05063,0.38817,-2.10877,0.683,0.36592,-2.12239,0.49293,0.37361,-2.1481,0.31756,0.32249,-2.13896,0.07231,0.27732,-2.19254,0.09302,0.30105,-1.98434,0.05039,0.35615,-2.03786,0.0321,0.05431,-2.04148,0.04142,0.26349,-2.11601,0.49186,0.1689,-2.13993,0.4834
8,0.07,0.21336,-2.159,1.5041,0.20926,-2.19909,1.25602,0.22878,-2.01861,1.39908,0.22584,-1.98972,1.2466,0.04316,-2.08404,1.4703,-0.03675,-2.07064,1.15579,0.0155,-1.97316,0.92198,-0.03176,-2.02018,0.91217,-0.03006,-1.96985,0.84659,0.39287,-2.11226,1.46904,0.49391,-2.14296,1.15274,0.46103,-2.02987,0.92911,0.50412,-2.07178,0.92172,0.50293,-2.03225,0.85986,0.10194,-2.0045,0.97833,0.36811,-2.0285,0.98196,0.16831,-2.16638,1.08853,0.25489,-2.1729,1.08833,0.04996,-2.08395,0.68121,0.06615,-2.12456,0.49501,0.04837,-2.15627,0.29692,0.08674,-2.14542,0.08949,0.12609,-2.19496,0.10661,0.13906,-1.99488,0.05063,0.38828,-2.10881,0.68298,0.36601,-2.12244,0.49292,0.37367,-2.14814,0.31756,0.3225,-2.13898,0.0723,0.27734,-2.19256,0.09301,0.30105,-1.98436,0.0504,0.35615,-2.03788,0.03209,0.05429,-2.04149,0.04142,0.26356,-2.11605,0.49186,0.16892,-2.13997,0.48339
