PathFileType,4,(X/Y/Z),C:\Users\0gawa\Desktop\test0626\warkr2_Cortex\warkr2.trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,100,536,34,m,100,1,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,C7,,,T10,,,CLAV,,,STRN,,,LSHO,,,LELB,,,LWRA,,,LWRB,,,LFIN,,,RSHO,,,RELB,,,RWRA,,,RWRB,,,RFIN,,,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,LTIB,,,LANK,,,LHEE,,,LTOE,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,RPINKY,,,LPINKY,,,INRKNE,,,INLKNE,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.22579,-2.21883,1.50126,0.22516,-2.25043,1.25214,0.23955,-2.0731,1.40296,0.23827,-2.0394,1.25154,0.05345,-2.14411,1.46701,-0.02409,-2.137,1.15165,0.02387,-2.04503,0.91478,-0.02188,-2.09417,0.90631,-0.0216,-2.04583,0.83893,0.40497,-2.16611,1.47121,0.50866,-2.18696,1.1546,0.47663,-2.07031,0.9326,0.52001,-2.11197,0.92491,0.51899,-2.07175,0.86364,0.1185,-2.05055,0.97889,0.38496,-2.07129,0.98299,0.18592,-2.21519,1.08627,0.27275,-2.21874,1.08724,0.06919,-2.12955,0.68079,0.08647,-2.16999,0.49461,0.06971,-2.19997,0.29667,0.10981,-2.18796,0.08947,0.14749,-2.23393,0.10725,0.16633,-2.03854,0.05125,0.40842,-2.1488,0.6833,0.3867,-2.16245,0.49389,0.39707,-2.18406,0.31737,0.34993,-2.18465,0.08894,0.30021,-2.22783,0.09685,0.31869,-2.02494,0.05093,0.3988,-2.08809,0.05708,0.08041,-2.08286,0.04142,0.28429,-2.15952,0.49229,0.18889,-2.18666,0.48377
2,0.01,0.22574,-2.21883,1.50125,0.22511,-2.25041,1.25213,0.23949,-2.07312,1.40293,0.23825,-2.03941,1.25151,0.0534,-2.14412,1.46698,-0.0241,-2.13699,1.15161,0.02385,-2.04503,0.91474,-0.02189,-2.09417,0.90627,-0.02161,-2.04583,0.83888,0.40492,-2.16614,1.47118,0.50857,-2.18695,1.15456,0.47652,-2.07025,0.9326,0.51989,-2.11191,0.92487,0.51888,-2.07169,0.86363,0.1185,-2.05053,0.97887,0.38494,-2.0713,0.98299,0.18587,-2.21517,1.08626,0.2727,-2.21873,1.08725,0.06917,-2.12951,0.68077,0.08645,-2.16999,0.49459,0.06968,-2.19996,0.29665,0.10981,-2.18795,0.08946,0.14749,-2.23393,0.10723,0.16633,-2.03854,0.05126,0.4084,-2.14885,0.68331,0.38669,-2.16249,0.4939,0.39706,-2.18409,0.31738,0.34992,-2.18466,0.08894,0.30021,-2.22784,0.09684,0.31868,-2.02495,0.05092,0.39879,-2.0881,0.05708,0.0804,-2.08287,0.04142,0.28428,-2.15955,0.4923,0.18885,-2.18669,0.48377
3,0.02,0.22568,-2.21883,1.50124,0.22506,-2.25038,1.25212,0.23944,-2.07315,1.40289,0.23823,-2.03942,1.25147,0.05335,-2.14413,1.46694,-0.02412,-2.13699,1.15157,0.02384,-2.04502,0.91471,-0.02189,-2.09417,0.90624,-0.02161,-2.04583,0.83884,0.40486,-2.16616,1.47114,0.50849,-2.18695,1.15452,0.47641,-2.07019,0.93261,0.51977,-2.11185,0.92484,0.51876,-2.07162,0.86361,0.1185,-2.05051,0.97885,0.38493,-2.07131,0.98299,0.18582,-2.21515,1.08624,0.27264,-2.21872,1.08725,0.06916,-2.12947,0.68076,0.08642,-2.16999,0.49458,0.06965,-2.19995,0.29664,0.10981,-2.18795,0.08945,0.14749,-2.23392,0.10722,0.16632,-2.03855,0.05126,0.40838,-2.1489,0.68331,0.38667,-2.16253,0.4939,0.39704,-2.18412,0.31738,0.34992,-2.18467,0.08893,0.30021,-2.22786,0.09682,0.31868,-2.02496,0.05092,0.39879,-2.08811,0.05708,0.08039,-2.08287,0.04142,0.28427,-2.15958,0.4923,0.18882,-2.18672,0.48377
4,0.03,0.22562,-2.21883,1.50123,0.22501,-2.25035,1.25211,0.23939,-2.07319,1.40286,0.2382,-2.03943,1.25144,0.05329,-2.14414,1.46691,-0.02413,-2.137,1.15153,0.02382,-2.04502,0.91467,-0.0219,-2.09417,0.9062,-0.02162,-2.04583,0.8388,0.40481,-2.16618,1.47111,0.5084,-2.18694,1.15448,0.4763,-2.07013,0.93262,0.51965,-2.11179,0.9248,0.51864,-2.07155,0.8636,0.11849,-2.05049,0.97883,0.38492,-2.07132,0.983,0.18576,-2.21514,1.08622,0.27258,-2.21871,1.08725,0.06914,-2.12944,0.68075,0.0864,-2.16998,0.49457,0.06963,-2.19994,0.29663,0.10981,-2.18794,0.08944,0.14749,-2.23392,0.10721,0.16632,-2.03855,0.05126,0.40836,-2.14895,0.68331,0.38665,-2.16257,0.49391,0.39703,-2.18415,0.31738,0.34992,-2.18468,0.08892,0.3002,-2.22787,0.09681,0.31868,-2.02497,0.05092,0.39879,-2.08812,0.05708,0.08038,-2.08287,0.04142,0.28425,-2.15961,0.4923,0.18879,-2.18675,0.48377
5,0.04,0.22557,-2.21884,1.50122,0.22496,-2.25033,1.2521,0.23934,-2.07323,1.40282,0.23818,-2.03944,1.25141,0.05325,-2.14416,1.46688,-0.02415,-2.13701,1.1515,0.0238,-2.04503,0.91464,-0.02191,-2.09418,0.90617,-0.02163,-2.04583,0.83876,0.40476,-2.16621,1.47108,0.50832,-2.18693,1.15445,0.47618,-2.07006,0.93263,0.51953,-2.11173,0.92477,0.51852,-2.07148,0.86359,0.11849,-2.05047,0.97881,0.38491,-2.07133,0.983,0.18571,-2.21513,1.08621,0.27253,-2.2187,1.08725,0.06912,-2.12941,0.68074,0.08637,-2.16998,0.49456,0.06961,-2.19994,0.29662,0.1098,-2.18794,0.08944,0.14748,-2.23392,0.1072,0.16632,-2.03855,0.05127,0.40834,-2.149,0.68332,0.38663,-2.16261,0.49391,0.39701,-2.18418,0.31739,0.34992,-2.18469,0.08891,0.3002,-2.22788,0.0968,0.31868,-2.02498,0.05092,0.39879,-2.08813,0.05708,0.08037,-2.08287,0.04142,0.28424,-2.15964,0.4923,0.18876,-2.18677,0.48376
6,0.05,0.22552,-2.21885,1.50121,0.22492,-2.25031,1.25209,0.2393,-2.07328,1.40279,0.23815,-2.03946,1.25138,0.0532,-2.14419,1.46685,-0.02417,-2.13702,1.15146,0.02378,-2.04503,0.91461,-0.02191,-2.09419,0.90613,-0.02164,-2.04584,0.83873,0.40471,-2.16623,1.47105,0.50823,-2.18692,1.15441,0.47606,-2.06999,0.93263,0.51941,-2.11167,0.92475,0.51839,-2.0714,0.86358,0.11848,-2.05045,0.9788,0.3849,-2.07135,0.98299,0.18566,-2.21513,1.0862,0.27248,-2.21869,1.08725,0.0691,-2.12939,0.68073,0.08635,-2.16998,0.49455,0.06958,-2.19993,0.29661,0.1098,-2.18794,0.08943,0.14748,-2.23392,0.10719,0.16632,-2.03855,0.05127,0.40832,-2.14904,0.68332,0.38662,-2.16265,0.49391,0.397,-2.18421,0.31739,0.34991,-2.1847,0.08891,0.3002,-2.22788,0.09679,0.31868,-2.02498,0.05092,0.39879,-2.08813,0.05708,0.08037,-2.08288,0.04142,0.28422,-2.15966,0.4923,0.18873,-2.18679,0.48376
7,0.06,0.22547,-2.21886,1.5012,0.22488,-2.2503,1.25208,0.23925,-2.07333,1.40276,0.23813,-2.03948,1.25136,0.05315,-2.14422,1.46682,-0.02419,-2.13705,1.15143,0.02376,-2.04505,0.91458,-0.02192,-2.09421,0.9061,-0.02164,-2.04585,0.8387,0.40466,-2.16626,1.47103,0.50815,-2.1869,1.15438,0.47594,-2.06991,0.93264,0.5193,-2.1116,0.92472,0.51825,-2.07131,0.86356,0.11847,-2.05043,0.9788,0.38489,-2.07137,0.98299,0.18562,-2.21513,1.08619,0.27243,-2.21869,1.08725,0.06908,-2.12938,0.68073,0.08633,-2.16998,0.49454,0.06956,-2.19993,0.29661,0.1098,-2.18794,0.08943,0.14747,-2.23392,0.10718,0.16632,-2.03855,0.05127,0.4083,-2.14909,0.68332,0.3866,-2.16269,0.49391,0.39698,-2.18423,0.31739,0.34991,-2.1847,0.0889,0.30019,-2.22789,0.09678,0.31868,-2.02499,0.05092,0.39879,-2.08814,0.05709,0.08037,-2.08288,0.04142,0.28421,-2.15968,0.4923,0.18871,-2.18681,0.48377
8,0.07,0.22543,-2.21887,1.50119,0.22484,-2.25029,1.25207,0.23921,-2.07339,1.40272,0.2381,-2.03949,1.25134,0.05311,-2.14426,1.46679,-0.02422,-2.13708,1.1514,0.02374,-2.04506,0.91455,-0.02192,-2.09424,0.90607,-0.02165,-2.04587,0.83867,0.40462,-2.16629,1.47101,0.50806,-2.18689,1.15435,0.47582,-2.06982,0.93266,0.51918,-2.11154,0.92471,0.51811,-2.07122,0.86355,0.11846,-2.05041,0.9788,0.38487,-2.07139,0.98299,0.18558,-2.21513,1.08619,0.27238,-2.21869,1.08724,0.06905,-2.12937,0.68072,0.08631,-2.16998,0.49454,0.06954,-2.19993,0.2966,0.10979,-2.18793,0.08942,0.14747,-2.23392,0.10718,0.16632,-2.03855,0.05126,0.40828,-2.14913,0.68332,0.38659,-2.16272,0.49392,0.39696,-2.18426,0.31739,0.34991,-2.1847,0.0889,0.30019,-2.22789,0.09677,0.31868,-2.02499,0.05092,0.39878,-2.08813,0.05709,0.08036,-2.08288,0.04142,0.28419,-2.1597,0.4923,0.18869,-2.18682,0.48377
